                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.88943,                 1.6383,                 1.3377,                0.62657,                0.53837,                0.58771,                0.43109,                0.91987,                 1.4906,                 1.3681,               7.54e-05,               7.54e-05,               7.54e-05
                     84,                0.87556,                 1.6304,                 1.3323,                0.63069,                 0.5375,                0.58858,                0.43426,                 0.9228,                 1.4829,                 1.3742,               7.51e-05,               7.51e-05,               7.51e-05
                     85,                0.87753,                 1.6273,                 1.3397,                0.65605,                0.52233,                0.58951,                0.43684,                0.91957,                 1.4777,                  1.372,               7.48e-05,               7.48e-05,               7.48e-05
                     86,                0.88089,                 1.6355,                 1.3382,                0.65151,                0.52598,                0.58915,                0.43433,                0.91484,                 1.4718,                  1.367,               7.45e-05,               7.45e-05,               7.45e-05
                     87,                0.87432,                 1.6084,                 1.3404,                0.64424,                0.52986,                0.59074,                 0.4352,                0.91554,                 1.4663,                 1.3687,               7.42e-05,               7.42e-05,               7.42e-05
                     88,                0.86973,                  1.608,                 1.3323,                0.63048,                0.53479,                0.59422,                0.43853,                0.91479,                 1.4662,                  1.365,               7.39e-05,               7.39e-05,               7.39e-05
                     89,                0.86262,                 1.6049,                 1.3419,                0.61874,                0.54633,                0.59454,                0.43999,                0.91319,                 1.4636,                 1.3647,               7.36e-05,               7.36e-05,               7.36e-05
                     90,                0.87415,                 1.6244,                 1.3395,                0.62994,                0.54235,                0.59645,                0.44212,                0.91017,                 1.4576,                 1.3608,               7.33e-05,               7.33e-05,               7.33e-05
                     91,                 0.8657,                 1.6003,                 1.3376,                0.64687,                0.52938,                0.59211,                0.43868,                0.91342,                 1.4577,                 1.3662,                7.3e-05,                7.3e-05,                7.3e-05
                     92,                0.86294,                 1.6142,                 1.3355,                0.64782,                0.53941,                0.59577,                0.44125,                0.90896,                 1.4553,                 1.3619,               7.27e-05,               7.27e-05,               7.27e-05
                     93,                0.86343,                 1.5969,                 1.3217,                0.63491,                0.53963,                0.59698,                0.44211,                0.90683,                 1.4545,                 1.3582,               7.24e-05,               7.24e-05,               7.24e-05
                     94,                0.87563,                 1.6037,                 1.3331,                0.63861,                 0.5408,                0.59696,                 0.4426,                0.90371,                 1.4539,                 1.3568,               7.21e-05,               7.21e-05,               7.21e-05
                     95,                0.86688,                 1.6096,                 1.3383,                 0.6388,                0.53825,                0.59545,                0.44257,                 0.9011,                 1.4513,                 1.3543,               7.18e-05,               7.18e-05,               7.18e-05
                     96,                0.85601,                 1.5861,                 1.3295,                 0.6253,                0.54438,                 0.5972,                0.44533,                 0.8992,                 1.4472,                 1.3529,               7.15e-05,               7.15e-05,               7.15e-05
                     97,                0.87015,                 1.5863,                 1.3274,                0.62363,                0.55585,                0.60079,                0.44641,                0.89981,                 1.4396,                 1.3514,               7.12e-05,               7.12e-05,               7.12e-05
                     98,                0.85641,                  1.586,                 1.3254,                0.61947,                0.56144,                0.60059,                0.44687,                0.90249,                 1.4438,                 1.3519,               7.09e-05,               7.09e-05,               7.09e-05
                     99,                0.86211,                 1.5787,                 1.3169,                  0.632,                0.55395,                0.59918,                0.44745,                0.90032,                 1.4451,                  1.351,               7.06e-05,               7.06e-05,               7.06e-05
                    100,                0.87076,                 1.5934,                 1.3251,                0.63139,                0.54962,                0.59892,                0.44508,                0.89933,                 1.4441,                 1.3501,               7.03e-05,               7.03e-05,               7.03e-05
                    101,                0.86054,                 1.5608,                 1.3225,                0.63262,                0.55258,                0.59964,                0.44513,                0.89875,                  1.442,                 1.3501,                  7e-05,                  7e-05,                  7e-05
