                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.56617,                0.77129,                 1.1067,                0.76774,                0.66888,                0.74128,                0.59479,                0.70311,                 1.0689,                 1.1856,               8.38e-05,               8.38e-05,               8.38e-05
                     56,                0.57711,                0.77269,                 1.1129,                 0.7555,                0.65721,                0.73505,                0.59308,                0.70019,                 1.0846,                 1.1901,               8.35e-05,               8.35e-05,               8.35e-05
                     57,                0.56902,                0.76837,                 1.1098,                0.77851,                 0.6631,                0.74341,                0.60555,                0.69604,                 1.0556,                 1.1828,               8.32e-05,               8.32e-05,               8.32e-05
                     58,                0.56557,                0.76706,                 1.1101,                0.73829,                0.67736,                0.73739,                0.60309,                0.69728,                  1.062,                 1.1879,               8.29e-05,               8.29e-05,               8.29e-05
                     59,                0.57004,                0.77609,                 1.1127,                0.76853,                0.65575,                0.73645,                0.60032,                0.69201,                 1.0698,                 1.1729,               8.26e-05,               8.26e-05,               8.26e-05
                     60,                0.57201,                  0.779,                 1.1198,                0.74943,                0.66927,                0.73765,                0.59986,                0.69644,                  1.068,                 1.1769,               8.23e-05,               8.23e-05,               8.23e-05
                     61,                 0.5551,                 0.7568,                 1.1106,                0.73578,                0.67506,                0.73481,                0.59913,                0.69142,                 1.0722,                 1.1744,                8.2e-05,                8.2e-05,                8.2e-05
                     62,                0.56817,                0.77374,                 1.1134,                0.77177,                0.65591,                0.74218,                0.60238,                 0.6967,                 1.0697,                 1.1836,               8.17e-05,               8.17e-05,               8.17e-05
                     63,                0.56379,                0.75824,                 1.1054,                0.77251,                0.67846,                0.74825,                0.60987,                  0.688,                 1.0309,                 1.1689,               8.14e-05,               8.14e-05,               8.14e-05
                     64,                0.56763,                0.76174,                  1.103,                0.79182,                0.64874,                 0.7451,                0.60762,                0.70014,                 1.0446,                 1.1799,               8.11e-05,               8.11e-05,               8.11e-05
                     65,                0.55597,                0.74462,                  1.102,                 0.7642,                0.66276,                0.74467,                 0.6057,                 0.6897,                 1.0482,                 1.1759,               8.08e-05,               8.08e-05,               8.08e-05
                     66,                0.56588,                0.76436,                 1.1104,                0.76664,                0.67021,                0.74757,                0.60564,                0.68701,                 1.0546,                 1.1718,               8.05e-05,               8.05e-05,               8.05e-05
                     67,                 0.5602,                0.76134,                 1.1068,                0.76861,                0.66799,                0.75036,                0.61009,                0.68895,                 1.0381,                 1.1736,               8.02e-05,               8.02e-05,               8.02e-05
                     68,                0.56799,                0.75576,                 1.1052,                0.73033,                 0.6924,                0.74592,                0.60808,                 0.6844,                 1.0583,                  1.171,               7.99e-05,               7.99e-05,               7.99e-05
                     69,                0.56137,                0.75823,                 1.1038,                 0.7413,                 0.6996,                0.75158,                0.61437,                0.68047,                 1.0216,                 1.1635,               7.96e-05,               7.96e-05,               7.96e-05
                     70,                0.55556,                0.74834,                 1.0943,                0.77626,                0.66851,                0.74987,                0.61296,                0.69112,                 1.0264,                 1.1758,               7.93e-05,               7.93e-05,               7.93e-05
                     71,                0.56144,                0.74098,                 1.1065,                0.75346,                0.68155,                0.74711,                0.61403,                0.68715,                 1.0437,                 1.1758,                7.9e-05,                7.9e-05,                7.9e-05
                     72,                0.56052,                0.75457,                 1.1078,                0.77862,                0.66341,                0.75158,                0.61316,                0.68672,                 1.0295,                 1.1763,               7.87e-05,               7.87e-05,               7.87e-05
                     73,                0.55904,                0.74413,                 1.0981,                0.80057,                0.65075,                0.75241,                0.61533,                0.68639,                  1.029,                  1.172,               7.84e-05,               7.84e-05,               7.84e-05
                     74,                 0.5555,                0.73704,                 1.0934,                0.77466,                0.67923,                0.75044,                0.61006,                0.68606,                  1.034,                 1.1718,               7.81e-05,               7.81e-05,               7.81e-05
                     75,                0.55603,                0.73722,                 1.0985,                0.78211,                0.66951,                0.75058,                0.60807,                 0.6823,                 1.0378,                  1.169,               7.78e-05,               7.78e-05,               7.78e-05
                     76,                0.55602,                0.73866,                 1.0971,                0.75685,                0.67731,                0.74653,                0.60782,                0.68727,                 1.0462,                 1.1759,               7.75e-05,               7.75e-05,               7.75e-05
                     77,                0.55289,                0.73926,                 1.0992,                0.78685,                0.65959,                0.74757,                0.61202,                0.67991,                 1.0464,                   1.17,               7.72e-05,               7.72e-05,               7.72e-05
                     78,                0.55602,                  0.736,                  1.096,                0.78625,                0.67472,                0.75502,                0.61518,                0.68057,                 1.0201,                 1.1712,               7.69e-05,               7.69e-05,               7.69e-05
                     79,                0.56013,                0.74306,                 1.0997,                0.78096,                0.67146,                0.75209,                0.61519,                0.67954,                 1.0158,                 1.1664,               7.66e-05,               7.66e-05,               7.66e-05
                     80,                0.55516,                0.73095,                 1.1015,                0.79591,                0.66909,                0.75104,                0.61602,                0.67698,                 1.0152,                 1.1648,               7.63e-05,               7.63e-05,               7.63e-05
                     81,                0.55297,                0.73465,                 1.0966,                0.76177,                0.67698,                0.75108,                0.61277,                0.67383,                 1.0183,                 1.1639,                7.6e-05,                7.6e-05,                7.6e-05
                     82,                0.55622,                0.73602,                 1.1042,                0.80279,                0.65893,                0.75306,                0.61738,                0.67329,                 1.0203,                 1.1622,               7.57e-05,               7.57e-05,               7.57e-05
                     83,                0.55926,                0.73119,                 1.0939,                0.77477,                 0.6805,                0.75533,                0.62045,                0.66994,                 1.0168,                 1.1574,               7.54e-05,               7.54e-05,               7.54e-05
                     84,                0.55393,                0.72393,                 1.0949,                0.77291,                0.68382,                0.75592,                0.61931,                0.67446,                 1.0166,                 1.1599,               7.51e-05,               7.51e-05,               7.51e-05
                     85,                0.55265,                 0.7221,                  1.098,                0.76002,                0.69696,                0.75391,                0.62121,                0.67212,                 1.0094,                 1.1575,               7.48e-05,               7.48e-05,               7.48e-05
                     86,                0.55389,                0.73467,                  1.098,                0.79639,                0.66706,                0.75538,                0.62008,                0.67329,                  1.009,                 1.1586,               7.45e-05,               7.45e-05,               7.45e-05
                     87,                0.55188,                0.72147,                 1.1006,                0.79592,                 0.6696,                0.75389,                 0.6169,                0.67347,                 1.0162,                 1.1593,               7.42e-05,               7.42e-05,               7.42e-05
                     88,                0.55242,                0.72418,                  1.099,                0.78509,                0.67306,                0.75328,                0.61398,                0.67752,                 1.0246,                 1.1596,               7.39e-05,               7.39e-05,               7.39e-05
                     89,                0.54773,                0.72501,                 1.1049,                0.77823,                0.67825,                0.75227,                 0.6134,                0.67809,                 1.0392,                 1.1618,               7.36e-05,               7.36e-05,               7.36e-05
                     90,                0.55117,                 0.7252,                 1.0978,                0.77829,                0.67427,                0.74965,                 0.6155,                0.67336,                 1.0352,                 1.1571,               7.33e-05,               7.33e-05,               7.33e-05
                     91,                0.54147,                0.70674,                 1.0944,                0.78042,                0.66994,                0.75024,                0.61611,                0.67454,                 1.0291,                 1.1599,                7.3e-05,                7.3e-05,                7.3e-05
                     92,                0.54649,                0.71821,                 1.0949,                0.76932,                0.67804,                0.75177,                0.61566,                0.67132,                 1.0266,                 1.1581,               7.27e-05,               7.27e-05,               7.27e-05
                     93,                0.54487,                0.70669,                 1.0857,                0.79145,                0.66111,                0.75055,                0.61718,                0.67196,                 1.0239,                 1.1561,               7.24e-05,               7.24e-05,               7.24e-05
                     94,                0.55504,                0.72677,                 1.0966,                0.75981,                0.67961,                0.75038,                0.61952,                 0.6777,                 1.0283,                 1.1634,               7.21e-05,               7.21e-05,               7.21e-05
                     95,                0.54883,                0.72599,                 1.1008,                0.76097,                0.68728,                0.75498,                0.62314,                0.67556,                 1.0174,                 1.1599,               7.18e-05,               7.18e-05,               7.18e-05
                     96,                0.54275,                0.70672,                 1.0947,                0.78219,                0.67596,                0.75552,                0.62345,                0.67586,                 1.0191,                 1.1635,               7.15e-05,               7.15e-05,               7.15e-05
                     97,                0.55336,                 0.7136,                 1.0947,                0.77253,                0.67852,                0.75021,                0.62404,                0.67072,                 1.0187,                 1.1591,               7.12e-05,               7.12e-05,               7.12e-05
                     98,                0.54041,                0.70488,                 1.0923,                0.77374,                0.68079,                0.75065,                 0.6219,                0.67228,                 1.0174,                 1.1612,               7.09e-05,               7.09e-05,               7.09e-05
                     99,                0.54536,                0.70836,                 1.0861,                0.78016,                0.67452,                0.74841,                0.61833,                0.67324,                 1.0269,                 1.1631,               7.06e-05,               7.06e-05,               7.06e-05
                    100,                0.55084,                0.71357,                 1.0889,                0.76246,                0.68405,                0.74921,                0.61983,                0.67441,                 1.0272,                 1.1634,               7.03e-05,               7.03e-05,               7.03e-05
                    101,                0.54063,                0.69626,                  1.088,                0.79078,                 0.6674,                0.75302,                0.62187,                 0.6744,                 1.0214,                 1.1663,                  7e-05,                  7e-05,                  7e-05
